timestamp,pod,CPU_value,memory_usage_value,network_receive_value,network_transmit_value
2024-11-04T17:10:48,alertmanager-monitoring-prometheus-alertmanager-0,0.0006633911368264696,159461376,221.93729171315584,367.6640047409835
2024-11-04T17:10:48,controller-7967ffcf8-855s8,0.0009637539545919319,132403200,164.08932771278074,1597.8487109548175
2024-11-04T17:10:48,coredns-548ff45b67-dbj8f,0.0060369737701756986,107819008,3819.955185045957,6479.32099447921
2024-11-04T17:10:48,coredns-548ff45b67-jf86h,0.006480626626546844,120561664,3537.6534697010256,5935.8520639000435
2024-11-04T17:10:48,coredns-autoscaler-d5944f655-v2d8g,0.0002708899030776457,46989312,281.3176015984939,129.1593044569579
2024-11-04T17:10:48,csi-attacher-7bf4b7f996-5h42q,0.0001870454470704987,43737088,124.44960387772143,29.8160933585874
2024-11-04T17:10:48,csi-attacher-7bf4b7f996-wjn5m,0.0004502640304413798,56590336,462.73310281644353,258.60005319620535
2024-11-04T17:10:48,csi-attacher-7bf4b7f996-xltd9,0.0002043681735366918,67051520,156.04814450556773,29.029364401742193
2024-11-04T17:10:48,csi-provisioner-869bdc4b79-hjfqb,0.0005122814416799977,52174848,125.55169568965199,30.743276989156616
2024-11-04T17:10:48,csi-provisioner-869bdc4b79-hqpsq,0.000664200983788999,73097216,155.86345451081593,29.553681220665407
2024-11-04T17:10:48,csi-provisioner-869bdc4b79-r75gc,0.0008927293331834743,61751296,482.9575608169414,269.80637871706637
2024-11-04T17:10:48,csi-resizer-6d8cf5f99f-4rgnz,0.00019851767754466474,73883648,154.53117707378726,29.066578544831412
2024-11-04T17:10:48,csi-resizer-6d8cf5f99f-dbmhb,0.00045331775566595023,56000512,459.99127685936054,253.44583354240564
2024-11-04T17:10:48,csi-resizer-6d8cf5f99f-kdzcd,0.00020364218609920503,48029696,129.86443340507788,31.479195781012514
2024-11-04T17:10:48,csi-snapshotter-588457fcdf-46rv7,0.0004892825584577535,65110016,160.39176603021417,29.73736475683117
2024-11-04T17:10:48,csi-snapshotter-588457fcdf-646qn,0.0020038537296066285,54312960,483.70231403970354,270.19179024156904
2024-11-04T17:10:48,csi-snapshotter-588457fcdf-gshng,0.00042184445205841836,53018624,127.42997930999188,33.29409786446948
2024-11-04T17:10:48,engine-image-ei-df38d2e5-8fqsm,0.005030948573943398,39522304,0,0
2024-11-04T17:10:48,engine-image-ei-df38d2e5-f8w7q,0.004552981379593845,47661056,29.646726296921216,0
2024-11-04T17:10:48,instance-manager-e-a9ac3ea7,0.013944568780428754,224997376,3623.0819584086166,4061.036963705341
2024-11-04T17:10:48,instance-manager-e-ae3e3c2f,0.0002758825529671957,41435136,100.70418189422874,42.42233086263997
2024-11-04T17:10:48,instance-manager-r-00027b8b,0.0028400445791744553,238063616,1599.2337472770073,1297.4554259533727
2024-11-04T17:10:48,instance-manager-r-7a506288,0.002620500089480975,263639040,1676.544955275822,1457.2163617084911
2024-11-04T17:10:48,kube-flannel-cd54x,0.0034986563533112554,87216128,53035.059757804906,65636.3355928718
2024-11-04T17:10:48,kube-flannel-lgfdv,0.0031683356439865104,106500096,57863.89956046632,505549.5757817315
2024-11-04T17:10:48,kube-multus-ds-hq5ff,0,12402688,50799.45351453242,64392.656269001585
2024-11-04T17:10:48,kube-multus-ds-rt6sq,0,18964480,57403.19328186007,505991.1726293992
2024-11-04T17:10:48,kubeview-7f7dcc4d54-nxs8x,0.00020897103905103683,59498496,125.93441861718905,289.2792955507133
2024-11-04T17:10:48,longhorn-admission-webhook-8b7f74576-d7ww6,0.0013668900959438487,195751936,805.0480362025992,105.1149884245255
2024-11-04T17:10:48,longhorn-admission-webhook-8b7f74576-x66tz,0.0014991163088520915,243798016,729.7844642610766,97.5184531808135
2024-11-04T17:10:48,longhorn-conversion-webhook-5dc58756b6-hcfvd,0.0006312835228173641,121122816,75.88338643007631,23.416028169219434
2024-11-04T17:10:48,longhorn-conversion-webhook-5dc58756b6-rtp7q,0.0007116958736379055,196902912,45.82848428909668,25.394277458967057
2024-11-04T17:10:48,longhorn-csi-plugin-f26q7,0.00022947337552992042,124395520,181.31404362204015,15.290956316795992
2024-11-04T17:10:48,longhorn-csi-plugin-nszth,0.00012631432841583672,108396544,30.393743455970196,0
2024-11-04T17:10:48,longhorn-driver-deployer-6bd59c9f76-rvpsk,0.00011083215117932175,46374912,32.179577741150624,0
2024-11-04T17:10:48,longhorn-manager-2vqm9,0.003287962660148208,136974336,774.530765943425,124.02218363371921
2024-11-04T17:10:48,longhorn-manager-k4dsn,0.006240421489038535,281554944,2018.7277428766959,1451.9328096122085
2024-11-04T17:10:48,longhorn-ui-b7c844b49-7dn4g,0,9674752,32.28127035090641,0
2024-11-04T17:10:48,metrics-server-5c4895ffbd-8787g,0.0037205643651411413,114409472,1179.7016063914823,1047.136776586205
2024-11-04T17:10:48,monitoring-grafana-565489cb9c-fvxtt,0.001287825233277248,281772032,174.0429574333338,145.22051392613156
2024-11-04T17:10:48,monitoring-prometheus-operator-88684dcc7-sglxs,0.000677926881629438,163217408,384.38608075664985,246.7547338328301
2024-11-04T17:10:48,monitoring-prometheus-qqgqj-kube-state-metrics-86bbf9bfd7-dgqwm,0.005180507606010286,98705408,12779.317330551557,812760.1245752687
